# source_id	required_mode	contexts	card_group	detail_page	label_key	detail_code	audience	what_is_checked	why_it_matters	pass_meaning	fail_meaning	not_run_meaning	stale_meaning	next_action_key	risk_level	approval_required	display_order
product.gates.tests	required	all	local_tests	#workflow	product.evidence.local_tests	product.gates.tests.detail	all	Declared local test commands and latest recorded results.	Shows whether the product was checked locally before the next workflow decision.	Local test evidence is current and passed.	At least one local test failed.	Local test evidence has not been recorded yet.	Local test evidence is older than the configured freshness window or product HEAD.	product.next.inspect_local_tests	high	false	10
product.gates.agent_workflow_status	optional	all	local_tests	#workflow	product.evidence.agent_workflow_status	product.gates.agent_workflow_status.detail	all	Local agent workflow create/status/index/report behavior and boundary checks.	Shows whether dashboards and local automation can track advisory handoff state without provider execution.	Agent workflow status evidence is current and passed.	Agent workflow status evidence failed or reported an unsafe boundary.	Agent workflow status evidence has not been recorded yet.	Agent workflow status evidence is older than the configured freshness window or product HEAD.	product.next.inspect_local_tests	medium	false	11
product.gates.structure	required	all	local_tests	#workflow	product.evidence.structure	product.gates.structure.detail	all	Product structure, required files, manifests, and product-local tools.	Shows whether the repository can be maintained by the product workflow.	Structure evidence is current and passed.	Structure check failed or required files are missing.	Structure evidence has not been recorded yet.	Structure evidence is older than the configured freshness window or product HEAD.	product.next.inspect_structure	high	false	20
product.docs.sync	optional	all	local_tests	#workflow	product.evidence.docs_sync	product.docs.sync.detail	all	Canonical product documents and the workflow-state pair.	Shows whether requirements, specification, implementation plan, task tracker, and handoff agree.	Document sync evidence is current and passed.	Document sync evidence found a mismatch.	Document sync evidence has not been recorded yet.	Document sync evidence is older than the configured freshness window or product HEAD.	product.next.inspect_docs	medium	false	21
product.design_system.sources	optional	all	local_tests	#workflow	product.evidence.design_system	product.design_system.sources.detail	all	Product-local design-system source files.	Shows whether future report UI design sources are valid and parseable.	Design-system evidence is current and passed.	Design-system evidence found invalid or missing files.	Design-system evidence has not been recorded yet.	Design-system evidence is older than the configured freshness window or product HEAD.	product.next.inspect_design_system	low	false	22
product.git.sync	required	all	git_sync	#workflow	product.evidence.git_sync	product.git.sync.detail	all	Worktree, branch, upstream, ahead/behind, push, PR, merge, and local-remote synchronization.	Shows where Git work should move next without guessing from a broad sync label.	Git synchronization evidence is current and passed.	Git synchronization evidence reports a mismatch or blocker.	Git synchronization evidence has not been recorded yet.	Git synchronization evidence is older than the configured freshness window or product HEAD.	product.next.inspect_git_sync	high	true	30
product.git.worktree	required	all	git_sync	#workflow	product.evidence.git_worktree	product.git.worktree.detail	all	Current branch and uncommitted worktree changes.	Shows whether local changes need commit, review, or cleanup before the next operation.	Worktree evidence is current and clean.	Worktree evidence found uncommitted or untracked changes.	Worktree evidence has not been recorded yet.	Worktree evidence is older than the configured freshness window or product HEAD.	product.next.inspect_git_worktree	high	false	31
product.git.upstream	contextual	all	git_sync	#workflow	product.evidence.git_upstream	product.git.upstream.detail	all	Configured upstream branch for the current local branch.	Shows whether local and remote comparison is possible without guessing.	Upstream evidence is current and configured.	Upstream evidence found a missing or invalid upstream.	Upstream evidence has not been recorded yet.	Upstream evidence is older than the configured freshness window or product HEAD.	product.next.inspect_git_upstream	medium	false	32
product.git.local_remote_sync	contextual	all	git_sync	#workflow	product.evidence.git_local_remote_sync	product.git.local_remote_sync.detail	all	Ahead and behind counts between the local branch and upstream.	Shows whether push, pull/rebase, or no synchronization is the next Git concern.	Local and remote synchronization evidence is current and matched.	Local and remote synchronization evidence found ahead or behind commits.	Local and remote synchronization evidence has not been recorded yet.	Local and remote synchronization evidence is older than the configured freshness window or product HEAD.	product.next.inspect_git_local_remote_sync	high	true	33
product.git.push	contextual	product-improvement|external-integration	git_sync	#workflow	product.evidence.git_push	product.git.push.detail	all	Whether local commits have been pushed to a remote branch.	Shows whether remote review or CI can observe the selected product revision.	Push evidence is current and complete.	Push evidence found unpushed commits or missing remote state.	Push evidence has not been recorded yet.	Push evidence is older than the configured freshness window or product HEAD.	product.next.inspect_git_push	high	true	34
